[240-560] Foreign.
[88430-88670] bigger
[88670-89110] nights.
[89670-89950] Are
[89950-90070] you
[90070-90150] a
[90150-90310] bit
[90310-90710] surprised
[90710-91030] by,
[91190-91550] like,
[91550-91790] you
[91790-91950] know,
[91950-92230] who's
[92230-92310] kind
[92310-92430] of
[92430-92790] deciding
[92790-92950] to
[92950-93070] go
[93070-93230] over
[93230-93390] to
[93390-93870] Zufa
[93870-93990] at
[93990-94110] this
[94110-94390] point?
[94550-94950] And
[95030-95310] is
[95310-95470] any
[95470-95590] of
[95590-95710] it
[95710-96030] shocking
[96030-96150] to
[96150-96390] you?
[97590-98030] Maybe
[98030-98150] a
[98150-98310] little
[98310-98630] bit,
[98950-99270] but,
[99270-99430] I
[99430-99670] mean,
[99830-100310] that's
[100310-100550] really
[100550-100750] up
[100750-100870] to
[100870-101030] them.
[101030-101310] That's
[101310-101470] their
[101470-101710] business.
[101710-101950] I
[101950-102150] just
[102150-102429] mind
[102429-102630] my
[102630-102750] own
[102750-102950] and
[102950-103110] do
[103110-103190] what
[103190-103310] I
[103310-103470] got
[103470-103590] to
[103590-103830] do.
[105030-105270] All
[105270-105470] right,
[105470-105830] well,
[105830-106230] look,
[106390-106790] moving
[106790-106990] up
[106990-107270] again,
[108870-109270] it's
[109270-109710] obviously
[109710-109990] very
[109990-110310] important
[110390-110670] for
[110670-110910] you
[110910-111270] to,
[112000-112120] you
[112120-112400] know,
[112560-112920] place
[112920-113240] your
[113240-113600] name
[114000-114400] in
[114800-115120] as
[115120-115280] a
[115280-115760] legend
[116240-116520] one
[116520-116720] day
[116720-116960] to
[116960-117280] become
[117280-117680] a
[117680-118080] possible
[118160-118560] three
[118560-118960] time
[120080-120400] world
[120400-120840] division
[120840-121440] champion.
[122160-122440] How
[122440-122600] does
[122600-122720] it
[122720-122880] all
[122880-123080] feel
[123080-123240] for
[123240-123360] you
[123360-123480] right
[123480-123640] now
[123640-123800] to
[123800-123960] be
[123960-124160] given
[124160-124360] that
[124360-124880] opportunity
[124880-125120] against
[125120-125840] Vargas?
[125840-126200] It's
[126200-126640] exciting.
[126880-127200] Just
[127200-127360] to
[127360-127480] be
[127480-127640] back
[127640-127839] in
[127839-128000] the
[128000-128320] mix,
[128560-128960] finally
[128960-129080] have
[129080-129200] a
[129200-129360] fight
[129360-129640] day,
[129640-129960] finally
[129960-130120] have
[130120-130280] something
[130280-130440] to
[130440-130600] work
[130600-131040] towards.
[131120-131520] So
[131760-132040] for
[132040-132200] me
[132200-132400] to
[132400-132600] move
[132600-132800] up
[132800-133000] once
[133000-133240] again
[133240-133600] and
[133840-134120] try
[134120-134280] to
[134280-134600] conquer
[134600-134840] another
[134840-135080] world
[135080-135400] title
[135400-135560] in
[135560-135840] another
[136240-136640] weight
[136640-137120] division,
[137200-137560] become
[137560-137840] three
[137840-138160] time
[139060-139180] three
[139180-139540] division
[139540-139740] world
[139740-140100] champion
[140100-140340] at
[140340-140740] 26
[140740-140940] years
[140940-141100] old
[141100-141260] would
[141260-141500] be
[141500-141740] a
[141740-141980] huge
[141980-142660] accomplishment.
[142660-142900] So
[142900-143060] that's
[143060-143220] my
[143220-143460] main
[143460-143700] goal
[143700-143820] right
[143820-143980] now.
[143980-144260] And
[144420-144740] June
[144740-145060] 13,
[145060-145220] I'm
[145220-145380] gonna
[145380-145500] make
[145500-145620] sure
[145620-145740] I
[145740-146140] accomplish
[146140-146420] that.
[146900-147180] Now.
[147180-147300] This
[147300-147380] is
[147380-147540] gonna
[147540-147660] be,
[147660-147820] what,
[147820-148060] your
[148060-148420] fourth
[148420-148740] time
[148980-149500] fighting
[149500-149660] in
[149660-150260] Glendale,
[150900-151700] Arizona?
[151940-152300] Yeah.
[152300-152500] Second
[152500-152700] time
[152700-152820] in
[152820-153260] Glendale,
[153260-153420] is
[153420-153580] it?
[153580-153780] Second
[153780-154020] time?
[154020-154420] Yeah.
[154420-154659] I
[154659-154780] had
[154780-154940] two
[154940-155220] fights
[155220-155340] in
[155340-155780] Phoenix.
[156340-156700] Oh,
[156700-157020] okay.
[157020-157340] Okay.
[157340-157500] So
[157500-157620] I
[157620-157700] thought
[157700-157740] it
[157740-157780] was
[157780-158020] fourth
[158020-158180] time,
[158180-158500] but
[158980-159260] I
[159260-159420] know
[159420-159580] I
[159580-159780] read
[159780-160260] somewhere
[160260-160620] that
[160620-160900] you
[160900-161260] wanted
[161260-161420] to
[161420-161700] actually
[161700-161980] have
[161980-162140] it
[162140-162380] back
[162380-162580] in
[162580-162700] your
[162700-163180] hometown,
[163180-163340] but
[163340-163460] the
[163460-163780] venue
[163780-164140] wasn't
[164140-164420] available.
[165300-165660] That's
[165660-165980] obviously
[165980-166100] in
[166100-166220] the
[166220-166380] near
[166380-166660] future,
[166660-166980] something
[166980-167220] you'd
[167220-167340] want
[167340-167500] to
[167500-167780] have.
[168160-168360] Yeah,
[168360-168520] for
[168520-168760] sure.
[168760-169000] I
[169000-169160] was
[169160-169400] hoping
[169400-169520] it
[169520-169680] was
[169680-169880] this
[169880-170080] fight,
[170080-170280] but
[170280-170440] the
[170440-170760] spurs
[170760-170960] are
[170960-171080] in
[171080-171240] the
[171240-171640] playoffs
[171640-171800] and
[171800-172000] most
[172000-172240] likely
[172240-172440] going
[172440-172560] to
[172560-172680] make
[172680-172800] the
[172800-173040] final,
[173200-173600] so
[173760-174040] they
[174040-174200] had
[174200-174400] a
[174400-174680] book.
[174680-175000] Yeah,
[175000-175160] they
[175160-175440] had
[175520-175800] Go,
[175800-176200] spurs,
[176200-176560] go.
[176560-176840] So,
[176840-176960] I
[176960-177080] mean,
[177080-177240] I
[177240-177360] have
[177360-177480] no
[177480-177680] problem
[177680-177880] with
[177880-178160] that.
[178480-178760] The
[178760-178960] time
[178960-179160] will
[179160-179400] come
[179400-179680] once
[179680-180080] it's.
[180800-181080] Once
[181080-181280] it's
[181280-181440] time
[181440-181760] to
[181840-182160] actually
[182160-182400] go
[182400-182600] back
[182600-182760] and
[182760-182920] fight
[182920-183120] back
[183120-183360] home.
[183360-183560] So
[183560-183760] there's
[183760-183959] no
[183959-184399] rush.
[185040-185320] I
[185320-185600] have
[185760-186040] a
[186040-186200] lot
[186200-186360] more
[186360-186640] fights
[186640-186760] left
[186760-186880] in
[186880-187080] me,
[187080-187440] so
[187680-187960] when
[187960-188080] the
[188080-188240] time
[188240-188560] comes,
[188640-188960] I'll
[188960-189040] be
[189040-189160] more
[189160-189280] than
[189280-189600] ready.
[190240-190600] What.
[190600-190840] What
[190840-191080] weight
[191080-191320] class
[191320-191520] do
[191520-191640] you
[191640-191800] see
[191800-192320] yourself
[192640-193120] maybe
[193120-193840] eventually,
[193840-194200] like,
[194200-194880] retiring
[194880-195280] at?
[195280-195560] Like,
[195560-195680] do
[195680-195880] you.
[195880-196160] Because
[196160-196600] obviously
[196600-196840] there's
[196840-197000] the
[197000-197320] talks
[197320-197440] of
[197440-197600] people
[197600-197960] wanting
[197960-198080] to
[198080-198200] see
[198200-198360] if
[198360-198520] you
[198520-198640] would
[198640-198880] become.
[198880-199160] You
[199160-199320] would
[199320-199440] end
[199440-199560] up
[199560-199840] fight
[200380-200500] the
[200500-200940] winner
[200940-201260] of
[201260-201900] Inoue
[201900-202220] versus
[202220-203060] Nakatani.
[203060-203300] I
[203300-203460] mean,
[203460-203780] that's
[203780-204020] another
[204020-204460] division
[204460-204780] up.
[204780-205060] So
[205060-205340] where
[205340-205620] do
[205620-205820] you
[205820-206140] see
[206140-206420] that
[206420-206620] could
[206620-207060] possibly
[207060-207420] be,
[207980-208220] like,
[208220-208340] the
[208340-208700] highest
[208700-209020] weight
[209020-209300] class
[209300-209540] that
[209540-209700] you
[209700-209980] would
[209980-210300] go
[210300-210620] to?
[210940-211500] Honestly,
[211500-211700] I
[211700-211980] think
[212700-213620] 126,
[213620-213820] I
[213820-213980] think
[213980-214420] 130
[214420-214620] would
[214620-214740] be
[214740-215060] pushing
[215060-215260] it,
[215260-215580] but
[216780-217060] it
[217060-217260] is
[217260-217660] doable,
[217660-217860] I
[217860-218140] think,
[218140-218460] once
[218460-218780] I'm,
[218780-218980] you
[218980-219260] know,
[219260-219580] close
[219580-219780] to
[219780-220340] retirement.
[220340-220700] But
[220700-221620] 126
[221620-221860] would
[221860-222100] probably
[222100-222220] be
[222220-222340] the
[222340-222620] cap.
[222620-222940] Yeah.
[222940-223020] And
[223020-223180] you're
[223180-223340] still
[223340-223660] young,
[223660-223980] so
[223980-224260] you're
[224260-224500] really
[224500-224820] still
[224820-225060] like,
[225060-225260] coming
[225260-225500] into
[225500-225700] your
[225700-225980] own.
[226230-226390] Yeah,
[226390-226550] I'm
[226550-226710] only
[226710-227110] 26
[227110-227310] years
[227310-227470] old.
[227470-227630] I
[227630-227750] just
[227750-227990] turned
[227990-228350] 26
[228350-228510] in
[228510-228790] January.
[229110-229510] So
[229510-229870] we'll
[229870-230030] see.
[230030-230230] It's
[230230-230350] a.
[230350-230550] It's
[230550-230630] a
[230630-230750] matter
[230750-230910] of
[230910-231190] time.
[231350-231630] Time
[231630-231790] will
[231790-232070] tell.
[232070-232470] So
[232790-233070] one
[233070-233230] fight
[233230-233390] at
[233390-233510] a
[233510-233630] time,
[233630-233790] like
[233790-233910] I
[233910-234150] said.
[234230-234710] Yeah.
[234710-235030] Let's
[235030-235150] talk
[235150-235350] about
[235350-236070] Vargas.
[236870-237230] What.
[237230-237510] What
[237510-237710] can
[237710-237870] we
[237870-238110] expect
[238110-238470] against
[238790-239390] Vargas?
[239390-239910] Awar,
[240790-241070] I
[241070-241270] think
[241270-241590] so.
[241830-242349] Vargas,
[242349-242550] he's
[242550-242630] a
[242630-242750] very
[242750-243110] exciting
[243110-243590] fighter.
[243990-244390] He's
[244390-244510] been
[244510-244790] dropped,
[244790-244910] but
[244910-245070] he
[245070-245270] gets
[245270-245390] up
[245390-245550] and
[245550-245710] he
[245710-245950] fights
[245950-246190] back
[246190-246430] like
[246430-246590] he
[246590-246830] didn't
[246830-246990] get
[246990-247430] dropped.
[247430-247750] So
[247910-248190] I
[248190-248350] know
[248350-248470] he
[248470-248590] has
[248590-248710] a
[248710-248790] lot
[248790-248910] of
[248910-249190] heart.
[249510-249790] He
[249790-249910] has
[249910-249990] a
[249990-250190] lot
[250190-250550] of.
[252870-253150] He
[253150-253350] put.
[253350-253550] He
[253550-253790] applies
[253790-253910] a
[253910-253990] lot
[253990-254070] of
[254070-254350] pressure.
[254350-254550] He's
[254550-254790] fast
[254790-254950] as
[254950-255150] well.
[255150-255350] So
[255350-255470] I
[255470-255630] feel
[255630-255910] like
[256560-256680] that
[256680-256840] kind
[256840-256960] of
[256960-257200] style
[257200-257600] clashing
[257600-257720] with
[257720-258000] mine
[258000-258320] is.
[258720-259280] It's
[259840-260560] inevitable
[260560-260800] to
[260800-260920] get
[260920-261480] fireworks.
[261480-261600] I
[261600-261840] think
[262160-262440] come
[262440-262640] June
[262640-263200] 13th
[263200-263440] is
[263440-263600] going
[263600-263680] to
[263680-263760] be
[263760-264000] a.
[264000-264360] It's
[264360-264640] a
[264880-265360] exciting
[265360-265560] fight
[265560-265680] for
[265680-265800] all
[265800-265920] the
[265920-266320] fans.
[266800-267080] What
[267080-267240] did
[267240-267360] it
[267360-267480] feel
[267480-267600] like,
[267600-267760] though,
[267760-267920] to
[267920-268000] be
[268000-268120] able
[268120-268400] to
[268400-268680] get
[268680-268800] the
[268800-268960] call
[268960-269200] to
[269200-269400] know
[269400-269640] that
[269640-270000] you
[270000-270320] are
[270320-270560] getting
[270560-270760] a
[270760-271080] shot
[271080-271440] at
[271919-272199] a
[272199-272400] world
[272400-272880] title,
[272880-273240] moving
[273240-273360] up
[273360-273480] to
[273480-274240] bantamweight?
[274240-274480] It
[274480-274600] was
[274600-274960] exciting
[274960-275200] just
[275200-275480] because
[275480-275760] there
[275760-276080] is
[276160-276440] a
[276440-276840] dilemma.
[276840-277000] At
[277000-277480] 115,
[277480-277680] I
[277680-277880] wanted
[277880-278000] to
[278000-278080] go
[278080-278680] undisputed,
[278680-278840] but
[278840-279000] the
[279000-279520] IBF
[279520-279840] was.
[280480-280720] I
[280720-280880] mean,
[280880-281240] there's.
[281240-281680] There's
[282020-282100] two
[282100-282220] other
[282220-282460] guys
[282460-282660] fighting
[282660-282780] for
[282780-283020] that.
[283020-283380] So
[283700-283980] when
[283980-284140] they
[284140-284300] told
[284300-284460] me
[284460-284580] I
[284580-284700] was
[284700-284980] moving
[284980-285220] up
[285220-285460] to
[285460-285660] my
[285660-285820] third
[285820-286180] division
[286180-286420] to
[286420-286660] fight
[286660-286860] for
[286860-286980] a
[286980-287100] world
[287100-287420] title,
[287420-287580] right
[287580-287860] away,
[289060-289420] that's
[289420-289780] exciting.
[289940-290300] So
[290300-290580] that
[290580-290740] kind
[290740-290860] of
[290860-291060] fight
[291060-291220] is
[291220-291340] what
[291340-291660] pushes
[291660-291820] me
[291820-292100] to
[292100-292380] go
[292380-292500] in
[292500-292620] the
[292620-292820] gym
[292820-292940] and
[292940-293140] work
[293140-293340] even
[293340-293660] harder
[293660-293860] to
[293860-294060] get
[294060-294220] that
[294220-294420] job
[294420-294740] done.
[294900-295180] And
[295180-295300] so
[295300-295420] what
[295420-295820] happens
[295820-296060] then?
[296060-296300] You
[296300-296500] know,
[296500-296700] you
[296700-296980] win.
[297300-297580] Do
[297580-297780] you
[297780-298019] stay
[298019-298300] there?
[298300-298500] Do
[298500-298620] you
[298620-298780] go
[298780-298980] back
[298980-299300] down
[299380-299700] and
[299700-299900] try
[299900-300100] to
[300100-300340] become
[300340-301020] undisputed
[301020-301300] there?
[301300-301700] Or
[301700-302100] what's
[302100-302220] the
[302220-302500] plan?
[302740-303020] That
[303020-303180] is
[303180-303340] a
[303340-303580] plan
[303580-303940] to
[303940-304460] capture
[304460-304660] this
[304660-304900] world
[304900-305340] title
[305340-305540] and
[305540-305780] then
[306100-306540] maybe
[306540-306700] move
[306700-306860] back
[306860-307020] down
[307020-307180] to
[307180-307620] 115
[307620-307900] and
[307900-308100] become
[308100-308780] undisputed.
[308780-308900] But
[308900-309020] if
[309020-309180] I
[309180-309380] feel
[309380-309580] good
[309580-309740] at
[309740-310140] 118
[310140-310380] better
[310380-310540] than
[310540-310660] I
[310660-310780] did
[310780-310940] at
[310940-311340] 115,
[311340-311700] then
[311940-312060] I
[312060-312180] have
[312180-312300] no
[312300-312540] problem
[312540-312820] staying
[312820-312940] at
[312940-313380] 118.
[314260-314540] And
[314540-314700] then
[314700-315220] obviously
[315220-315660] Eddie
[315660-316100] Hearn,
[316500-317140] Robert.
[317140-317660] Everyone's
[317660-317900] talking
[317900-318180] about
[318420-318700] down
[318700-318860] the
[318860-319060] line,
[319060-319300] not
[319300-319620] next,
[319780-320060] but
[320060-320380] definitely
[320380-320540] down
[320540-320660] the
[320660-320820] line.
[320820-321020] Would
[321020-321180] love
[321180-321340] to
[321340-321620] see
[321780-322100] you
[322100-322380] fight
[322380-322700] either
[322700-322940] against
[322940-323700] Nakatani
[323700-323820] or
[323820-324420] Inoue.
[324420-324700] Do
[324700-324820] you
[324820-324940] want
[324940-325100] to
[325100-325420] maybe
[325420-325620] say
[325620-325820] who
[325820-326020] you
[326020-326460] favor
[326460-326740] in
[326740-327020] that
[327020-327340] fight
[327340-327580] between
[327580-327819] the
[327819-328180] two?
[328580-328820] I
[328820-328980] think
[328980-329500] Inoue
[329500-329700] wins
[329700-329820] the
[329820-330100] fight
[331220-331540] just
[331540-331860] because
[332100-332340] he
[332340-332460] has
[332460-332620] more
[332620-332900] experience.
[333140-333460] He's
[333460-333580] been
[333580-333740] in
[333740-334020] the
[334180-334580] weight
[334580-335060] division
[335060-335420] longer
[335420-335580] than
[335580-336300] Nakatani
[336300-336500] has.
[336500-336820] So
[336980-337260] I
[337260-337420] do
[337420-337700] favor
[337700-338100] Inoue.
[338100-338220] But
[338220-339020] Nakatani,
[339020-339260] he
[339260-339420] does
[339420-339540] have
[339540-339660] a
[339660-339860] chance
[339860-339980] as
[339980-340140] well
[340140-340340] just
[340340-340540] because
[340540-340700] he
[340700-340980] has
[341300-341580] that
[341580-341700] kind
[341700-341820] of
[341820-342020] one
[342020-342300] punch
[342300-342580] power.
[344000-344080] That
[344080-344200] could
[344200-344320] be
[344320-344440] the
[344440-344640] big
[344640-344960] fight
[345520-345800] in
[345800-346000] your
[346000-346280] home
[346280-346840] hometown,
[346840-347080] right?
[347080-347400] Yeah,
[347400-347840] hopefully.
[347840-348040] If
[348040-348240] not,
[348240-348400] I
[348400-348560] don't
[348560-348680] mind
[348680-348840] going
[348840-348960] to
[348960-349280] Japan
[349280-349600] either.
[349600-349800] I
[349800-349960] love
[349960-350120] going
[350120-350240] to
[350240-350480] Japan.
[350480-350640] I
[350640-350760] love
[350760-351200] spending.
[351200-351680] Yeah,
[351680-351920] I
[351920-352040] love
[352040-352360] spending
[352360-352520] time
[352520-352720] there,
[352720-353000] so.
[353000-353280] Oh,
[353280-353360] so
[353360-353440] you
[353440-353600] have
[353600-354000] traveled
[354000-354080] there
[354080-354280] before?
[354280-354560] Yeah,
[354560-354720] I've
[354720-354800] been
[354800-355040] there
[355440-355800] plenty
[355800-355960] of
[355960-356240] times.
[356400-356800] But
[356800-357080] like
[357080-357240] I
[357240-357520] said,
[357520-358000] either
[358480-358760] San
[358760-359440] Antonio
[359760-360079] or
[360079-360440] Japan,
[360440-360560] I
[360560-360720] don't
[360720-360840] care
[360840-361000] where
[361000-361200] it's
[361200-361440] at.
[361760-362040] And
[362040-362320] you're
[362320-362520] at
[362520-362800] this
[362880-363200] really
[363200-363520] great
[364080-364440] stage
[364440-364560] of
[364560-364680] your
[364680-364960] life
[365040-365440] in
[365440-365800] being
[365800-366360] 26
[366360-366720] that
[366800-367080] your
[367080-367360] body
[367360-367720] really
[367720-368000] could
[368000-368560] handle
[368640-369000] going
[369000-369240] up
[369240-369400] and
[369400-369680] down.
[369840-370120] Like
[370120-370360] you're
[370360-370520] doing
[370520-370680] it
[370680-370840] at
[370840-371000] like
[371000-371200] right
[371200-371360] at
[371360-371480] the
[371480-371640] right
[371640-371920] time.
[372160-372320] Yeah,
[372320-372400] I
[372400-372640] believe
[372640-373000] so.
[373000-373240] Like
[373240-373360] I
[373360-373600] said,
[373600-374080] 26
[374080-374280] years
[374280-374560] old,
[374560-374960] so
[375120-375400] my
[375400-375680] body
[375840-376240] still
[376400-377040] hasn't
[377440-377800] fully
[377800-378160] capped
[378160-378400] off,
[378400-378640] so
[378640-378760] I
[378760-378880] feel
[378880-379080] like
[379080-379280] you
[379280-379400] can
[379400-379560] cut
[379560-379800] weight
[379800-379920] like
[379920-380160] that.
[380240-380640] Yeah.
[380640-380960] Still
[381600-381920] it's
[381920-382000] a
[382000-382120] little
[382120-382280] bit
[382280-382480] harder
[382480-382600] than
[382600-382760] when
[382760-382880] I
[382880-383080] was
[383080-383360] like
[383360-383702] 17,
[383778-384120] 18,
[384120-384480] but,
[384720-384960] you
[384960-385080] know,
[385080-385280] it's
[385280-385440] still
[385440-385920] doable.
[387040-387680] Okay,
[387760-388159] well,
[388159-388560] I
[388560-388840] want
[388840-388960] to
[388960-389120] ask
[389120-389440] you
[389680-390040] last
[390040-390400] question
[390720-391120] is
[391120-391440] next
[391440-391960] weekend.
[391960-392200] We
[392200-392600] obviously
[392600-392760] have
[392760-392920] the
[392920-393120] big
[393120-393520] Cinco
[393520-393640] de
[393640-393960] Mayo
[393960-394320] card.
[394720-395000] Who
[395000-395120] are
[395120-395240] you
[395240-395720] favoring
[395720-396080] in
[396400-396720] that
[396720-397000] fight?
[397000-397200] Do
[397200-397280] you
[397280-397400] have
[397400-397720] David
[397720-398240] Benavidez
[398240-398360] or
[398360-398800] Zerto
[398800-399360] Ramirez?
[399520-399800] I
[399800-400040] have
[400040-400480] David
[400480-401200] Benavidez.
[401200-401400] Just
[401400-401680] because
[401680-402040] I'm
[402040-402160] a
[402160-402360] huge
[402360-402560] fan
[402560-402680] of
[402680-403000] David
[403000-403760] Benavidez.
[404220-404340] I
[404340-404500] actually
[404500-404780] shared
[404780-404860] the
[404860-405020] car
[405020-405180] with
[405180-405260] him
[405260-405380] in
[405380-405980] Riyadh
[406140-406420] and
[406420-406580] he
[406580-406980] supports
[406980-407140] me,
[407140-407300] so
[407300-407500] I'm
[407500-407580] going
[407580-407660] to
[407660-407820] support
[407820-408020] him
[408020-408180] as
[408180-408420] well.
[408420-408780] So
[408940-409220] I
[409220-409420] got
[409420-409900] David.
[409980-410260] Do
[410260-410380] you
[410380-410500] have
[410500-410700] like
[410700-410900] in
[410900-411140] any
[411140-411660] fashion?
[412700-412940] I
[412940-413060] think
[413060-413220] it
[413220-413420] goes
[413420-413540] a
[413540-413900] distance.
[414060-414420] Yeah.
[414420-414580] But
[414580-414700] I
[414700-414860] think
[414860-415060] he
[415060-415420] wins.
[415740-416340] Unanimous
[416340-416620] decision.
[416780-417060] People
[417060-417220] are
[417220-417420] talking
[417420-417540] about
[417540-417900] maybe
[417900-418300] David
[418300-418860] Benavidez
[418860-419260] versus
[419420-420139] Usyk
[420139-420340] at
[420340-420940] heavyweight,
[420940-421260] bro,
[422060-422380] that'd
[422380-422500] be
[422500-422620] a
[422620-422820] crazy
[422820-423020] ass
[423020-423340] fight.
[423500-423900] But
[423980-424260] like
[424260-424380] I
[424380-424540] said,
[424540-425020] David.
[425580-425900] I'm
[425900-425980] a
[425980-426140] huge
[426140-426300] fan
[426300-426380] of
[426380-426740] David.
[426740-427100] So
[427180-427660] anyone
[427660-427780] he
[427780-427980] goes
[427980-428140] against,
[428140-428380] I'm
[428380-428460] a
[428460-428620] root
[428620-428700] for
[428700-428860] him.
[428860-429140] Right?
[429140-429580] Yeah.
[429580-429900] Thank
[429900-429980] you
[429980-430060] so
[430060-430180] much
[430180-430300] for
[430300-430420] your
[430420-430580] time.
[430580-430740] I
[430740-431220] appreciate
[431220-431460] it.
[431460-431700] All
[431700-431820] the
[431820-432060] best
[432310-432430] to
[432430-432630] you
[432630-432950] and
[433910-434230] we'll
[434230-434310] go
[434310-434390] ahead
[434390-434510] and
[434510-434710] catch
[434710-434830] your
[434830-435070] fight.
[435070-435310] June
[435310-435470] the
[435470-435870] 13th,
[435870-436030] live
[436030-436190] on
[436190-436710] Dazone.
[436870-437190] Thank
[437190-437350] you.
[437350-437630] Bye.
[437630-437830] Five
[437830-438230] fans.
